@relation documents

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute F40 numeric
@attribute F41 numeric
@attribute F42 numeric
@attribute F43 numeric
@attribute F44 numeric
@attribute F45 numeric
@attribute F46 numeric
@attribute F47 numeric
@attribute F48 numeric
@attribute F49 numeric
@attribute F50 numeric
@attribute F51 numeric
@attribute F52 numeric
@attribute F53 numeric
@attribute F54 numeric
@attribute F55 numeric
@attribute F56 numeric
@attribute F57 numeric
@attribute F58 numeric
@attribute F59 numeric
@attribute F60 numeric
@attribute F61 numeric
@attribute F62 numeric
@attribute F63 numeric
@attribute F64 numeric
@attribute relevance {0, 1}

@data
1.000000, 0.166667, 0.600000, 0.333333, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.969545, 0.151163, 0.583226, 0.468477, 0.972126, 0.578679, 0.007229, 0.500000, 0.166667, 0.578834, 1.000000, 0.846632, 0.666769, 0.603502, 1.000000, 1.000000, 0.918832, 0.768693, 0.470464, 1.000000, 1.000000, 0.441113, 0.631925, 0.853669, 1.000000, 0.935772, 0.944971, 0.821157, 0.356451, 0.931500, 1.000000, 1.000000, 0.151620, 1.000000, 0.044672, 0.823150, 0.837420, 0.615193, 0.012332, 0.073591, 0.004045, 0.360311, 0.000000, 0.004780, 0.000282, 0.001463, 0.013636, 0.428571, 0.143678, 0.115385, 0.422995, 0.301783, 0.382908, 0.238140, 0
0.112754, 0.166667, 0.600000, 0.333333, 0.119266, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.109569, 0.151163, 0.583226, 0.468477, 0.116605, 0.084853, 0.012048, 0.450000, 0.166667, 0.085569, 0.989603, 0.647898, 0.715919, 0.603502, 0.994639, 0.975731, 0.839205, 0.783340, 0.470464, 0.980719, 0.807642, 0.440759, 0.632143, 0.853669, 0.787379, 0.920475, 0.875645, 0.834800, 0.356451, 0.921223, 0.869443, 0.869443, 0.157224, 0.997115, 0.045835, 0.825923, 0.840738, 0.595448, 0.012857, 0.107122, 0.003531, 0.360311, 0.000000, 0.022608, 0.000286, 0.001463, 0.018182, 0.428571, 0.137931, 0.000000, 0.481765, 0.317860, 0.383216, 0.250810, 0
0.181146, 0.000000, 0.000000, 0.000000, 0.176147, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.170616, 0.000000, 0.000000, 0.000000, 0.166314, 0.135493, 0.019277, 0.100000, 0.166667, 0.135710, 0.991408, 0.000000, 0.000000, 0.000000, 0.982331, 0.978843, 0.000000, 0.000000, 0.000000, 0.970300, 0.864121, 0.000000, 0.000000, 0.000000, 0.837857, 0.920780, 0.000000, 0.000000, 0.000000, 0.909951, 0.943740, 0.943740, 0.175064, 0.970833, 0.044532, 0.826663, 0.832327, 0.581074, 0.033567, 0.126904, 0.039032, 0.360311, 0.000164, 0.001758, 0.000170, 0.004389, 0.022727, 0.428571, 0.132184, 0.038462, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.408503, 0.000000, 0.600000, 0.333333, 0.409174, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.382904, 0.000000, 0.583226, 0.468477, 0.384797, 0.454515, 0.007229, 0.500000, 0.166667, 0.454782, 0.927360, 0.000000, 0.666769, 0.603502, 0.886681, 0.912625, 0.000000, 0.768693, 0.470464, 0.894144, 0.895097, 0.000000, 0.631925, 0.853669, 0.878480, 0.862652, 0.000000, 0.821157, 0.356451, 0.842827, 0.775127, 0.775127, 0.139692, 0.940064, 0.041880, 0.760030, 0.769270, 0.497217, 0.006380, 0.073591, 0.002621, 0.360311, 0.000000, 0.002708, 0.000282, 0.000732, 0.013636, 0.428571, 0.143678, 0.000000, 0.422995, 0.301783, 0.382908, 0.238140, 0
0.044362, 0.000000, 1.000000, 0.333333, 0.051376, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.040590, 0.000000, 1.000000, 0.468477, 0.047958, 0.013255, 0.004819, 0.500000, 0.166667, 0.013809, 0.914744, 0.000000, 0.997495, 0.603502, 0.868689, 0.981082, 0.000000, 0.889229, 0.470464, 0.989595, 0.617521, 0.000000, 0.778874, 0.853669, 0.584170, 0.983886, 0.000000, 0.892285, 0.356451, 0.999405, 0.759298, 0.759298, 0.138046, 0.930769, 0.041461, 0.756257, 0.838554, 0.597693, 0.006380, 0.073591, 0.002621, 0.360311, 0.000000, 0.002708, 0.000282, 0.000732, 0.013636, 0.428571, 0.137931, 0.000000, 0.332465, 0.276412, 0.382293, 0.218144, 1
0.064695, 0.000000, 0.400000, 0.000000, 0.064220, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.073654, 0.000000, 0.468185, 0.000000, 0.074224, 0.036139, 0.007229, 0.500000, 0.222222, 0.036899, 0.922782, 0.000000, 0.583847, 0.000000, 0.867407, 0.879943, 0.000000, 0.821013, 0.000000, 0.848039, 0.669267, 0.000000, 0.804132, 0.000000, 0.616216, 0.891742, 0.000000, 0.910243, 0.000000, 0.873394, 0.758196, 0.758195, 0.157378, 0.815385, 0.037692, 0.772582, 0.768414, 0.571359, 0.005012, 0.000000, 0.000907, 0.369538, 0.000000, 0.007069, 0.000000, 0.001463, 0.004545, 0.428571, 0.178161, 0.000000, 0.789261, 0.949275, 0.999384, 0.960009, 0
0.031423, 0.000000, 0.600000, 0.333333, 0.034862, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.032337, 0.000000, 0.583226, 0.468477, 0.036114, 0.043843, 0.009639, 0.500000, 0.166667, 0.044595, 0.857506, 0.000000, 0.666769, 0.603502, 0.854241, 0.860127, 0.000000, 0.768693, 0.470464, 0.876969, 0.615795, 0.000000, 0.631925, 0.853669, 0.596156, 0.837303, 0.000000, 0.821157, 0.356451, 0.845099, 0.746744, 0.746744, 0.136761, 0.923077, 0.041089, 0.741888, 0.797520, 0.496411, 0.006380, 0.073591, 0.002621, 0.360311, 0.000000, 0.002708, 0.000282, 0.000732, 0.013636, 0.428571, 0.143678, 0.000000, 0.373973, 0.288185, 0.382600, 0.227429, 0
0.035120, 0.000000, 0.600000, 0.333333, 0.038532, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.033511, 0.000000, 0.583226, 0.468477, 0.037256, 0.014841, 0.002410, 0.400000, 0.166667, 0.015054, 0.896351, 0.000000, 0.772958, 0.603502, 0.836733, 0.940864, 0.000000, 0.799578, 0.470464, 0.938314, 0.594252, 0.000000, 0.632362, 0.853669, 0.549157, 0.950810, 0.000000, 0.850051, 0.356451, 0.957461, 0.731374, 0.731374, 0.135219, 0.901923, 0.045230, 0.738750, 0.817836, 0.581961, 0.006380, 0.209100, 0.002621, 0.360311, 0.000000, 0.002708, 0.000340, 0.000732, 0.027273, 0.428571, 0.137931, 0.000000, 0.553528, 0.337534, 0.383524, 0.266322, 0
0.147874, 0.000000, 0.600000, 0.333333, 0.150459, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.140564, 0.000000, 0.583226, 0.468477, 0.143740, 0.105359, 0.004819, 0.450000, 0.166667, 0.105716, 0.895240, 0.000000, 0.715919, 0.603502, 0.828840, 0.926070, 0.000000, 0.783340, 0.470464, 0.912091, 0.788885, 0.000000, 0.632143, 0.853669, 0.756829, 0.883319, 0.000000, 0.834800, 0.356451, 0.869393, 0.724531, 0.724531, 0.134499, 0.886538, 0.042252, 0.734139, 0.763361, 0.535331, 0.006380, 0.183976, 0.002621, 0.360311, 0.000000, 0.002708, 0.000282, 0.000732, 0.022727, 0.428571, 0.137931, 0.000000, 0.481765, 0.317860, 0.383216, 0.250810, 0
0.031423, 0.000000, 0.000000, 0.000000, 0.027523, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.034052, 0.000000, 0.000000, 0.000000, 0.030489, 0.035233, 0.007229, 0.200000, 0.222222, 0.035314, 0.901927, 0.000000, 0.000000, 0.000000, 0.826300, 0.887973, 0.000000, 0.000000, 0.000000, 0.852529, 0.617883, 0.000000, 0.000000, 0.000000, 0.547858, 0.862899, 0.000000, 0.000000, 0.000000, 0.833687, 0.722314, 0.722314, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.002123, 0.359399, 0.000000, 0.000000, 0.000000, 0.000732, 0.018182, 0.428571, 0.183908, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
