@relation documents

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute F40 numeric
@attribute F41 numeric
@attribute F42 numeric
@attribute F43 numeric
@attribute F44 numeric
@attribute F45 numeric
@attribute F46 numeric
@attribute F47 numeric
@attribute F48 numeric
@attribute F49 numeric
@attribute F50 numeric
@attribute F51 numeric
@attribute F52 numeric
@attribute F53 numeric
@attribute F54 numeric
@attribute F55 numeric
@attribute F56 numeric
@attribute F57 numeric
@attribute F58 numeric
@attribute F59 numeric
@attribute F60 numeric
@attribute F61 numeric
@attribute F62 numeric
@attribute F63 numeric
@attribute F64 numeric
@attribute relevance {0, 1}

@data
0.050909, 0.000000, 0.000000, 0.000000, 0.049002, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.051405, 0.000000, 0.000000, 0.000000, 0.049312, 0.035258, 0.031746, 0.067568, 0.250000, 0.035418, 0.361319, 0.000000, 0.000000, 0.000000, 0.163782, 0.305281, 0.000000, 0.000000, 0.000000, 0.293216, 0.290344, 0.000000, 0.000000, 0.000000, 0.207659, 0.167417, 0.000000, 0.000000, 0.000000, 0.114494, 0.163615, 0.163615, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000040, 0.372823, 0.000000, 0.000000, 0.000000, 0.002740, 0.033898, 0.428571, 0.188811, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.018182, 0.083333, 0.000000, 0.000000, 0.018149, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.017807, 0.083333, 0.000000, 0.000000, 0.017494, 0.015857, 0.047619, 0.040541, 0.312500, 0.016031, 0.254839, 0.412771, 0.000000, 0.000000, 0.028592, 0.237518, 0.390482, 0.000000, 0.000000, 0.225783, 0.178259, 0.010323, 0.000000, 0.000000, 0.090708, 0.130591, 0.159033, 0.000000, 0.000000, 0.077894, 0.126924, 0.126924, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000304, 0.368869, 0.000000, 0.000000, 0.000000, 0.002740, 0.110169, 0.428571, 0.237762, 0.054348, 0.225631, 0.604036, 0.476293, 0.663838, 0
0.005455, 0.083333, 0.062500, 0.500000, 0.009074, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.006029, 0.083333, 0.064983, 0.467800, 0.009746, 0.003638, 0.095238, 0.094595, 0.375000, 0.004567, 0.183460, 0.282700, 0.286359, 0.397586, 0.060829, 0.221462, 0.341306, 0.178932, 0.053718, 0.290534, 0.083816, 0.009026, 0.078636, 0.002976, 0.046603, 0.158659, 0.108855, 0.108012, 0.040217, 0.140942, 0.060632, 0.060632, 0.497731, 0.546644, 0.021444, 0.569342, 0.573039, 0.225657, 0.000000, 0.000000, 0.000249, 0.293043, 0.000000, 0.000000, 0.000000, 0.002740, 0.008475, 0.571429, 0.237762, 0.000000, 0.088694, 0.142455, 0.008198, 0.047659, 0
0.630909, 0.000000, 0.000000, 0.000000, 0.627949, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.636679, 0.000000, 0.000000, 0.000000, 0.633572, 0.704878, 0.158730, 0.054054, 0.125000, 0.705005, 0.320519, 0.000000, 0.000000, 0.000000, 0.117452, 0.052627, 0.000000, 0.000000, 0.000000, 0.048394, 0.243339, 0.000000, 0.000000, 0.000000, 0.156565, 0.105594, 0.000000, 0.000000, 0.000000, 0.052915, 0.117328, 0.117328, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000121, 0.480175, 0.000000, 0.000000, 0.000000, 0.002740, 0.016949, 0.285714, 0.181818, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.083636, 0.000000, 0.062500, 0.000000, 0.083485, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.088739, 0.000000, 0.076933, 0.000000, 0.088695, 0.065292, 0.015873, 0.081081, 0.250000, 0.065430, 0.596468, 0.000000, 0.374923, 0.000000, 0.477523, 0.677263, 0.000000, 0.258468, 0.000000, 0.673924, 0.595408, 0.000000, 0.320622, 0.000000, 0.550816, 0.597610, 0.000000, 0.211573, 0.000000, 0.574599, 0.477472, 0.477472, 0.790923, 0.829530, 0.042087, 0.770931, 0.776751, 0.345012, 0.222966, 0.159479, 0.014195, 0.371292, 0.000872, 0.024855, 0.018495, 0.043836, 0.127119, 0.428571, 0.237762, 0.000000, 0.555064, 0.359965, 0.102969, 0.218694, 0
0.063636, 0.083333, 0.062500, 0.000000, 0.065336, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.061749, 0.083333, 0.060569, 0.000000, 0.063085, 0.033113, 0.126984, 0.081081, 0.250000, 0.033927, 0.675429, 0.233621, 0.295172, 0.000000, 0.565577, 0.791997, 0.320926, 0.151041, 0.000000, 0.780992, 0.590663, 0.008162, 0.006079, 0.000000, 0.546564, 0.909351, 0.088030, 0.084638, 0.000000, 0.896677, 0.565614, 0.565614, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.004767, 0.330622, 0.000000, 0.000000, 0.000000, 0.016438, 0.067797, 0.571429, 0.202797, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1
0.016364, 0.166667, 0.125000, 0.000000, 0.021779, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.016948, 0.175331, 0.137502, 0.000000, 0.022496, 0.012499, 0.142857, 0.175676, 0.375000, 0.014260, 0.326432, 0.452274, 0.384816, 0.000000, 0.168012, 0.384917, 0.753761, 0.621249, 0.000000, 0.387069, 0.256101, 0.402401, 0.539501, 0.000000, 0.213133, 0.225423, 0.748919, 0.693841, 0.000000, 0.197730, 0.167832, 0.167832, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000954, 0.180285, 0.000000, 0.000000, 0.000000, 0.005479, 0.059322, 0.857143, 0.216783, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.069091, 0.333333, 0.125000, 0.000000, 0.078040, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.069785, 0.341849, 0.125552, 0.000000, 0.078839, 0.043280, 0.285714, 0.067568, 0.250000, 0.044925, 0.378944, 0.462583, 0.684333, 0.000000, 0.206841, 0.291092, 0.745961, 0.677007, 0.000000, 0.293983, 0.319442, 0.515240, 0.301171, 0.000000, 0.259858, 0.178757, 0.700664, 0.729833, 0.000000, 0.142079, 0.206663, 0.206663, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000265, 0.538020, 0.000000, 0.000000, 0.000000, 0.008219, 0.177966, 0.285714, 0.153846, 0.000000, 0.815144, 0.860657, 0.486208, 0.881887, 0
0.005455, 0.583333, 0.062500, 0.000000, 0.018149, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.005229, 0.600662, 0.060569, 0.000000, 0.017674, 0.010260, 1.000000, 0.081081, 0.312500, 0.016311, 0.083776, 0.263568, 0.295172, 0.000000, 0.043419, 0.182216, 0.592053, 0.151041, 0.000000, 0.268368, 0.127983, 0.795013, 0.006079, 0.000000, 0.163018, 0.121819, 0.633883, 0.084638, 0.000000, 0.141898, 0.043266, 0.043265, 0.716793, 0.647315, 0.023515, 0.625576, 0.781094, 0.261682, 0.283554, 0.066997, 0.030521, 0.525718, 0.043461, 0.231711, 0.042673, 0.117808, 0.110169, 0.285714, 0.167832, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.467273, 0.000000, 0.062500, 0.000000, 0.466425, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.455664, 0.000000, 0.060569, 0.000000, 0.454640, 0.600784, 0.015873, 0.040541, 0.437500, 0.600522, 0.377872, 0.000000, 0.432623, 0.000000, 0.202093, 0.556408, 0.000000, 0.206958, 0.000000, 0.554597, 0.683399, 0.000000, 0.007301, 0.000000, 0.647332, 0.613564, 0.000000, 0.131478, 0.000000, 0.592620, 0.202152, 0.202152, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.001103, 0.478573, 0.000000, 0.000000, 0.000000, 0.008219, 0.025424, 0.285714, 0.321678, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
